Date,N1,N2,N3,N4,N5,S1,S2
26-Dec-25,12,22,32,36,48,3,4
23-Dec-25,8,26,27,29,44,11,12
19-Dec-25,17,21,39,43,44,1,11
16-Dec-25,14,16,40,41,44,2,10
12-Dec-25,7,25,30,37,41,5,11
09-Dec-25,2,8,13,29,49,2,11
05-Dec-25,9,15,25,34,46,8,12
02-Dec-25,4,13,14,20,41,6,12
28-Nov-25,5,29,33,39,42,3,9
25-Nov-25,6,11,17,35,44,3,7
21-Nov-25,17,19,29,35,48,5,9
18-Nov-25,2,4,15,21,48,6,12
14-Nov-25,9,26,27,45,48,8,9
11-Nov-25,4,22,32,36,47,2,10
07-Nov-25,11,21,39,40,43,2,8
04-Nov-25,6,9,25,28,45,1,4
31-Oct-25,5,14,38,43,45,7,11
28-Oct-25,7,8,24,35,49,2,12
24-Oct-25,7,8,25,31,45,7,12
21-Oct-25,5,24,29,40,42,6,12
17-Oct-25,13,35,39,44,47,3,5
14-Oct-25,5,8,14,16,18,3,10
10-Oct-25,6,7,17,20,21,1,10
07-Oct-25,24,39,42,43,48,5,8
03-Oct-25,6,12,18,25,41,2,6
30-Sep-25,3,8,15,17,48,2,8
26-Sep-25,4,17,25,28,44,5,11
23-Sep-25,11,13,24,29,33,2,5
19-Sep-25,8,10,26,32,42,9,12
16-Sep-25,1,9,13,35,40,5,6
12-Sep-25,5,10,23,31,37,3,11
09-Sep-25,3,13,24,39,40,2,8
05-Sep-25,27,30,31,41,43,5,8
02-Sep-25,13,30,31,32,36,1,12
29-Aug-25,6,9,10,13,37,1,7
26-Aug-25,2,14,38,42,45,10,11
22-Aug-25,6,9,12,30,39,4,10
19-Aug-25,24,31,34,41,43,6,8
15-Aug-25,13,30,35,36,40,2,6
12-Aug-25,18,28,42,46,48,3,9
08-Aug-25,2,12,19,34,44,6,10
05-Aug-25,1,3,5,42,47,5,10
01-Aug-25,4,16,25,29,30,2,10
29-Jul-25,5,6,42,44,46,4,8
25-Jul-25,6,7,23,32,36,11,12
22-Jul-25,8,15,26,33,41,9,10
18-Jul-25,13,19,25,42,45,2,9
15-Jul-25,24,38,41,45,49,1,6
11-Jul-25,8,23,24,45,49,2,10
08-Jul-25,1,8,9,18,50,1,5
04-Jul-25,19,29,42,45,48,5,7
01-Jul-25,1,17,28,32,34,7,8
27-Jun-25,19,27,36,45,49,7,10
24-Jun-25,7,16,21,23,39,7,11
20-Jun-25,5,8,24,37,47,3,9
17-Jun-25,13,22,23,44,49,3,5
13-Jun-25,2,28,40,43,45,3,7
10-jun-25,19,36,39,40,45,5,6
06-Jun-25,20,21,29,30,35,2,12
04-Jun-25,12,15,38,47,48,5,7
30-May-25,4,7,14,33,36,1,5
27-May-25,12,30,38,40,41,4,12
23-May-25,10,29,43,46,49,7,12
20-May-25,1,8,13,29,47,5,6
16-May-25,6,9,25,37,46,6,12
13-May-25,9,19,44,47,50,2,9
09-May-25,15,18,25,29,47,5,9
06-May-25,8,23,24,47,48,4,9
02-May-25,3,5,19,21,49,1,10
29-Apr-25,2,9,24,30,41,1,11
25-Apr-25,13,22,32,39,41,1,12
22-Apr-25,7,28,33,37,47,9,12
18-Apr-25,20,27,35,39,48,3,8
15-Apr-25,3,31,33,38,44,6,12
11-Apr-25,14,28,34,46,49,3,8
08-Apr-25,3,14,15,48,49,1,7
04-Apr-25,27,39,41,45,50,5,7
01-Apr-25,9,24,30,46,49,4,12
28-Mar-25,10,21,30,42,45,1,9
25-Mar-25,1,3,18,33,36,2,6
21-Mar-25,9,17,18,21,50,5,12
18-Mar-25,4,9,35,46,50,8,11
14-Mar-25,8,10,33,35,49,2,9
11-Mar-25,13,36,37,42,47,7,11
07-Mar-25,6,10,27,32,48,3,8
04-Mar-25,15,20,29,35,42,2,9
28-Feb-25,7,16,31,43,46,5,9
25-Feb-25,17,22,23,24,44,6,11
21-Feb-25,1,3,11,20,43,2,11
18-Feb-25,5,14,25,26,40,5,7
14-Feb-25,4,14,31,36,38,3,10
11-Feb-25,3,21,36,41,46,1,6
07-Feb-25,10,23,24,29,45,8,10
04-Feb-25,3,4,29,39,43,5,10
31-Jan-25,22,30,41,44,49,2,7
28-Jan-25,9,37,41,42,49,1,9
24-Jan-25,2,11,19,30,49,3,8
21-Jan-25,6,8,14,27,41,4,5
17-Jan-25,8,15,24,35,42,6,8
14-Jan-25,18,20,29,41,48,5,9
10-Jan-25,12,27,36,37,42,6,7
07-Jan-25,20,33,35,41,47,4,12
03-Jan-25,3,19,29,35,37,1,9
31-Dec-24,19,24,26,28,33,8,12
27-Dec-24,12,22,27,33,45,4,8
24-Dec-24,6,10,16,23,24,11,12
20-Dec-24,10,14,21,33,50,6,9
17-Dec-24,1,3,4,21,29,2,7
13-Dec-24,1,15,25,42,50,4,10
10-Dec-24,5,24,25,29,47,5,9
06-Dec-24,14,25,39,44,47,6,10
02/02/2024,13,42,27,23,20,9,5
30/01/2024,10,27,5,30,19,6,5
26/01/2024,32,19,41,8,42,12,9
23/01/2024,48,23,14,50,39,12,3
19/01/2024,50,27,28,48,44,7,12
16/01/2024,18,21,33,45,10,12,8
12/01/2024,18,16,17,49,45,9,12
09/01/2024,12,9,2,39,40,3,1
05/01/2024,18,4,39,7,50,8,3
02/01/2024,7,18,49,46,15,12,10
29/12/2023,2,36,19,37,3,9,6
26/12/2023,47,27,8,30,35,9,10
22/12/2023,14,49,34,44,6,12,4
19/12/2023,20,43,41,45,10,12,2
15/12/2023,2,13,37,38,48,9,5
12/12/2023,43,39,28,37,6,9,12
08/12/2023,48,30,50,42,17,4,8
05/12/2023,6,20,4,24,25,5,9
01/12/2023,38,10,4,14,50,9,12
28/11/2023,27,44,12,33,16,7,8
24/11/2023,48,15,29,20,39,7,1
21/11/2023,46,47,29,34,19,2,3
17/11/2023,26,50,24,2,46,2,7
14/11/2023,13,50,36,16,44,3,5
10/11/2023,30,42,10,21,38,12,2
07/11/2023,8,10,11,39,30,10,4
03/11/2023,31,47,21,39,8,9,5
31/10/2023,20,40,5,50,7,10,2
27/10/2023,29,48,33,49,35,8,3
24/10/2023,18,16,8,31,34,6,9
20/10/2023,20,40,28,2,45,5,1
17/10/2023,40,20,10,35,17,4,3
13/10/2023,41,26,21,40,28,4,2
10/10/2023,18,33,20,22,43,3,9
06/10/2023,31,43,21,29,34,2,9
03/10/2023,45,6,22,24,20,5,4
29/09/2023,32,9,11,21,13,7,2
26/09/2023,14,6,23,2,19,5,7
22/09/2023,3,23,35,34,24,8,5
19/09/2023,10,31,41,15,42,2,5
15/09/2023,21,45,12,48,14,8,11
12/09/2023,14,5,42,36,40,11,2
08/09/2023,33,20,10,21,26,4,3
05/09/2023,41,48,7,1,24,10,12
01/09/2023,35,43,37,5,4,5,6
29/08/2023,21,40,23,32,49,11,8
25/08/2023,44,35,16,34,17,5,10
22/08/2023,23,9,40,2,32,6,7
18/08/2023,47,25,23,30,44,9,12
15/08/2023,3,32,5,43,9,6,10
11/08/2023,10,13,34,4,6,3,5
08/08/2023,40,8,33,9,35,6,3
04/08/2023,15,31,48,20,44,1,3
01/08/2023,35,27,25,45,40,7,11
28/07/2023,38,7,34,32,33,9,6
25/07/2023,11,7,27,5,37,12,6
21/07/2023,7,35,33,36,31,10,7
18/07/2023,34,35,12,4,45,9,1
14/07/2023,5,29,48,8,35,5,6
11/07/2023,48,28,2,11,42,4,9
07/07/2023,2,12,19,11,38,8,4
04/07/2023,23,36,44,17,14,8,2
30/06/2023,29,25,6,36,1,10,7
27/06/2023,27,22,44,17,23,7,1
23/06/2023,11,3,33,46,1,10,11
20/06/2023,35,28,11,32,17,6,5
16/06/2023,34,7,41,26,44,9,11
13/06/2023,15,16,21,50,41,5,6
09/06/2023,18,26,36,50,41,11,12
06/06/2023,21,13,39,32,50,10,2
02/06/2023,25,3,15,43,12,10,11
30/05/2023,27,47,33,29,32,8,2
26/05/2023,38,25,15,37,41,1,7
23/05/2023,34,5,14,6,23,11,2
19/05/2023,41,27,34,49,18,3,9
16/05/2023,14,6,9,4,37,4,11
12/05/2023,9,44,13,39,10,6,4
09/05/2023,21,28,13,17,46,9,7
05/05/2023,34,8,49,18,3,3,7
02/05/2023,48,44,32,7,47,8,7
28/04/2023,34,23,11,13,16,1,10
25/04/2023,29,45,40,10,30,12,1
21/04/2023,18,8,7,42,33,8,2
18/04/2023,37,21,17,35,23,11,10
14/04/2023,44,4,37,49,11,7,6
11/04/2023,19,16,14,29,10,2,10
07/04/2023,26,28,46,5,36,12,6
04/04/2023,50,33,16,31,10,3,8
31/03/2023,28,34,47,16,18,10,5
28/03/2023,21,16,34,36,44,9,10
24/03/2023,36,25,5,46,12,10,6
21/03/2023,29,1,9,32,20,3,2
17/03/2023,37,5,26,15,49,8,11
14/03/2023,26,46,28,31,16,12,11
10/03/2023,9,16,48,37,38,7,2
07/03/2023,50,24,35,13,11,6,11
03/03/2023,24,3,8,50,6,10,11
28/02/2023,29,33,12,37,47,10,5
24/02/2023,42,34,7,23,48,1,3
21/02/2023,49,41,22,34,21,2,7
17/02/2023,42,27,45,23,8,1,9
14/02/2023,43,24,46,26,38,2,3
10/02/2023,3,13,36,25,47,3,8
07/02/2023,8,47,34,44,2,9,3
03/02/2023,14,32,45,2,17,10,3
31/01/2023,7,12,33,43,19,3,7
27/01/2023,15,19,31,8,9,12,10
24/01/2023,11,27,47,41,43,7,11
20/01/2023,40,6,13,42,3,7,11
17/01/2023,18,46,30,50,21,2,6
13/01/2023,13,4,33,25,37,10,5
10/01/2023,42,11,34,13,40,10,3
06/01/2023,44,16,35,45,31,12,4
03/01/2023,20,29,21,46,45,10,3
30/12/2022,48,42,17,34,47,1,9
27/12/2022,33,31,19,34,43,5,3
23/12/2022,16,17,26,23,35,5,11
20/12/2022,1,20,11,17,27,4,5
16/12/2022,2,15,44,35,19,7,2
13/12/2022,30,3,12,26,9,10,11
09/12/2022,8,46,31,27,50,3,1
06/12/2022,20,25,27,26,12,8,12
02/12/2022,39,12,35,21,45,11,6
29/11/2022,20,38,35,15,24,12,8
25/11/2022,21,19,39,35,37,2,6
22/11/2022,24,29,42,21,22,3,11
18/11/2022,41,13,35,19,16,11,1
15/11/2022,31,21,13,24,33,1,12
11/11/2022,25,2,19,44,24,2,10
08/11/2022,50,32,33,5,3,1,8
04/11/2022,11,2,37,47,45,2,3
01/11/2022,42,48,19,37,47,6,1
28/10/2022,28,35,21,16,14,11,1
25/10/2022,24,7,46,34,39,6,1
21/10/2022,26,28,38,25,40,1,6
18/10/2022,42,3,5,48,13,6,1
14/10/2022,28,48,29,24,34,7,3
11/10/2022,40,35,8,32,23,8,1
07/10/2022,50,27,45,26,42,12,1
04/10/2022,3,28,18,43,42,12,3
30/09/2022,2,16,11,1,26,3,12
27/09/2022,34,4,44,20,21,3,1
23/09/2022,22,35,48,15,14,8,3
20/09/2022,21,11,32,48,23,12,3
16/09/2022,49,10,45,36,27,3,4
13/09/2022,40,9,12,15,47,1,11
09/09/2022,26,17,23,24,27,4,9
06/09/2022,10,44,7,29,22,4,5
02/09/2022,7,45,12,20,13,3,12
30/08/2022,6,10,4,15,19,1,4
26/08/2022,22,23,44,25,38,12,11
23/08/2022,48,39,26,19,31,2,3
19/08/2022,9,2,19,38,13,2,6
16/08/2022,10,25,14,39,32,7,8
12/08/2022,14,42,35,17,34,10,6
09/08/2022,47,18,21,19,27,11,5
05/08/2022,29,3,44,33,35,10,8
02/08/2022,28,48,18,40,7,11,8
29/07/2022,38,48,43,23,3,8,3
26/07/2022,3,5,17,27,25,9,1
22/07/2022,32,29,50,18,16,11,4
19/07/2022,41,6,27,40,23,2,12
15/07/2022,38,17,29,9,39,10,7
12/07/2022,50,18,25,24,14,11,6
08/07/2022,28,46,43,35,31,7,4
05/07/2022,7,25,48,45,10,3,6
01/07/2022,46,6,34,24,18,12,3
28/06/2022,35,10,47,42,48,11,2
24/06/2022,50,44,17,10,28,12,8
21/06/2022,23,36,39,6,47,10,8
17/06/2022,21,22,38,19,31,7,11
14/06/2022,7,40,2,27,34,3,11
10/06/2022,37,26,40,17,36,9,12
07/06/2022,17,6,31,25,16,2,6
03/06/2022,29,12,48,28,34,9,11
31/05/2022,42,13,10,49,3,3,9
27/05/2022,15,34,28,48,23,3,5
24/05/2022,27,13,10,36,37,10,2
20/05/2022,32,23,8,22,50,3,9
17/05/2022,49,28,30,5,48,5,11
13/05/2022,11,45,17,48,3,8,4
10/05/2022,28,3,29,25,27,4,9
06/05/2022,3,24,8,18,40,11,3
03/05/2022,26,48,47,8,20,8,3
29/04/2022,37,36,10,20,11,7,3
26/04/2022,25,4,28,34,45,11,8
22/04/2022,11,6,35,36,21,9,1
19/04/2022,28,46,2,17,12,10,6
15/04/2022,32,48,6,24,30,6,5
12/04/2022,30,47,35,31,21,10,2
08/04/2022,16,38,1,45,15,4,11
05/04/2022,13,1,24,11,49,5,6
01/04/2022,21,45,31,2,7,10,4
29/03/2022,43,33,11,8,42,11,6
25/03/2022,10,29,24,6,27,12,5
22/03/2022,7,29,17,40,21,8,11
18/03/2022,43,1,9,14,17,12,6
15/03/2022,2,26,19,12,1,8,2
11/03/2022,23,22,12,19,48,6,2
08/03/2022,18,12,31,25,21,9,2
04/03/2022,40,20,43,6,42,10,12
01/03/2022,26,24,42,39,8,5,3
25/02/2022,24,10,30,42,13,1,5
22/02/2022,26,32,14,5,9,7,3
18/02/2022,25,41,50,43,38,6,10
15/02/2022,33,20,31,9,44,12,2
11/02/2022,45,13,42,18,38,7,11
08/02/2022,43,34,20,6,37,7,10
04/02/2022,49,38,3,25,43,7,3
01/02/2022,49,36,1,19,38,9,6
28/01/2022,34,10,25,29,45,10,9
25/01/2022,16,6,47,18,39,2,4
